,DATE,OPEN,HIGH,LOW,CLOSE,NAME,TICKER,SECTOR
0,2012-10-12,15.1153,15.5055,14.8397,14.8439,Diamondback Energy,FANG,Energy
1,2012-10-15,14.8863,15.1259,14.8439,15.056,Diamondback Energy,FANG,Energy
2,2012-10-16,14.9033,15.2256,14.6318,15.0899,Diamondback Energy,FANG,Energy
3,2012-10-17,15.0135,15.3274,14.8439,15.0135,Diamondback Energy,FANG,Energy
4,2012-10-18,14.9287,15.1577,14.8609,15.0135,Diamondback Energy,FANG,Energy
5,2012-10-19,15.0305,15.0984,14.7676,14.7676,Diamondback Energy,FANG,Energy
6,2012-10-22,14.8439,14.8524,14.3604,14.4452,Diamondback Energy,FANG,Energy
7,2012-10-23,14.2925,14.67,14.2077,14.5301,Diamondback Energy,FANG,Energy
8,2012-10-24,14.3519,14.8184,14.3519,14.7506,Diamondback Energy,FANG,Energy
9,2012-10-25,15.251,15.251,13.7794,14.4452,Diamondback Energy,FANG,Energy
10,2012-10-26,14.8524,14.8524,14.0805,14.5385,Diamondback Energy,FANG,Energy
11,2012-10-31,13.9957,14.4452,13.9957,14.4452,Diamondback Energy,FANG,Energy
12,2012-11-01,14.5046,14.8269,14.0042,14.6149,Diamondback Energy,FANG,Energy
13,2012-11-02,14.4113,14.6149,14.0466,14.4198,Diamondback Energy,FANG,Energy
14,2012-11-05,14.2417,14.4198,13.9957,14.1738,Diamondback Energy,FANG,Energy
15,2012-11-06,14.0126,14.8269,13.6479,14.4283,Diamondback Energy,FANG,Energy
16,2012-11-07,14.2077,14.7591,14.2077,14.4707,Diamondback Energy,FANG,Energy
17,2012-11-08,13.8175,14.6488,13.8175,14.2077,Diamondback Energy,FANG,Energy
18,2012-11-09,13.8515,14.3689,13.8515,14.0381,Diamondback Energy,FANG,Energy
19,2012-11-12,13.9617,14.0381,13.8769,13.9957,Diamondback Energy,FANG,Energy
20,2012-11-13,14.0126,14.2162,13.5461,13.6055,Diamondback Energy,FANG,Energy
21,2012-11-14,13.5461,13.9702,13.2747,13.614,Diamondback Energy,FANG,Energy
22,2012-11-15,13.8939,14.6403,13.3256,14.1653,Diamondback Energy,FANG,Energy
23,2012-11-16,14.3434,15.0051,13.8006,14.2671,Diamondback Energy,FANG,Energy
24,2012-11-19,14.2925,14.6318,13.9957,14.5216,Diamondback Energy,FANG,Energy
25,2012-11-20,14.5385,14.6658,14.2756,14.5301,Diamondback Energy,FANG,Energy
26,2012-11-21,14.5216,14.8268,14.2925,14.5894,Diamondback Energy,FANG,Energy
27,2012-11-23,14.6318,14.8863,14.4707,14.6912,Diamondback Energy,FANG,Energy
28,2012-11-26,14.6742,14.776,14.4707,14.6403,Diamondback Energy,FANG,Energy
29,2012-11-27,14.4792,14.7018,14.3604,14.6149,Diamondback Energy,FANG,Energy
30,2012-11-28,14.8015,14.8353,14.4028,14.6318,Diamondback Energy,FANG,Energy
31,2012-11-29,14.81,15.5648,14.5894,15.4037,Diamondback Energy,FANG,Energy
32,2012-11-30,15.6412,15.6752,15.0729,15.268,Diamondback Energy,FANG,Energy
33,2012-12-03,15.2765,15.6921,14.7506,15.3528,Diamondback Energy,FANG,Energy
34,2012-12-04,15.4631,15.4631,14.7684,15.1238,Diamondback Energy,FANG,Energy
35,2012-12-05,14.9118,15.3528,14.9118,15.251,Diamondback Energy,FANG,Energy
36,2012-12-06,15.0644,15.0814,14.6912,14.9457,Diamondback Energy,FANG,Energy
37,2012-12-07,14.9966,15.1408,14.9287,15.056,Diamondback Energy,FANG,Energy
