DATE,OPEN,HIGH,LOW,CLOSE,NAME,TICKER,SECTOR
2009-01-02,39.9204,41.2849,39.1145,41.0285,Roper Technologies,ROP,Information Technology
2009-01-05,41.2208,41.6238,40.6164,41.1109,Roper Technologies,ROP,Information Technology
2009-01-06,41.3124,42.5671,41.3124,41.8802,Roper Technologies,ROP,Information Technology
2009-01-07,41.4743,41.4743,39.2262,39.4464,Roper Technologies,ROP,Information Technology
2009-01-08,39.3639,40.052,39.0427,39.9695,Roper Technologies,ROP,Information Technology
2009-01-09,39.8318,40.1989,37.9783,39.2905,Roper Technologies,ROP,Information Technology
2009-01-12,39.006,39.1345,38.327,38.8684,Roper Technologies,ROP,Information Technology
2009-01-13,38.7216,39.3106,37.8315,38.3454,Roper Technologies,ROP,Information Technology
2009-01-14,37.9875,38.2169,36.6662,36.9965,Roper Technologies,ROP,Information Technology
2009-01-15,36.6295,38.4555,36.3726,38.3178,Roper Technologies,ROP,Information Technology
2009-01-16,39.1161,39.5841,37.5654,38.6115,Roper Technologies,ROP,Information Technology
2009-01-20,38.2352,38.5289,36.5744,36.7947,Roper Technologies,ROP,Information Technology
2009-01-21,37.3177,38.6573,36.9323,38.6023,Roper Technologies,ROP,Information Technology
2009-01-22,37.6021,38.3729,36.5194,37.5471,Roper Technologies,ROP,Information Technology
2009-01-23,37.0516,38.5931,36.4827,37.8223,Roper Technologies,ROP,Information Technology
2009-01-26,37.648,39.0427,37.6388,38.2536,Roper Technologies,ROP,Information Technology
2009-01-27,38.4004,39.3272,38.116,39.1895,Roper Technologies,ROP,Information Technology
2009-01-28,39.8685,40.4282,39.2996,40.0704,Roper Technologies,ROP,Information Technology
2009-01-29,39.4006,39.5199,38.0976,38.5656,Roper Technologies,ROP,Information Technology
2009-01-30,38.8041,38.9234,37.1984,37.7489,Roper Technologies,ROP,Information Technology
2009-02-02,37.2167,37.8957,36.4919,37.2534,Roper Technologies,ROP,Information Technology
2009-02-03,37.5012,37.7214,36.7671,37.3452,Roper Technologies,ROP,Information Technology
2009-02-04,37.1984,38.1068,36.6295,36.9323,Roper Technologies,ROP,Information Technology
2009-02-05,36.6846,37.5608,35.8037,36.2441,Roper Technologies,ROP,Information Technology
2009-02-06,38.6206,41.7037,38.0884,40.1071,Roper Technologies,ROP,Information Technology
2009-02-09,40.0612,40.9146,39.6575,40.1897,Roper Technologies,ROP,Information Technology
2009-02-10,39.7217,40.6485,38.8041,39.0794,Roper Technologies,ROP,Information Technology
2009-02-11,39.2813,39.7034,38.1435,38.3821,Roper Technologies,ROP,Information Technology
2009-02-12,37.7673,38.694,37.2259,38.4922,Roper Technologies,ROP,Information Technology
2009-02-13,38.6482,40.6393,38.4555,40.1438,Roper Technologies,ROP,Information Technology
2009-02-17,37.9967,39.9328,37.9967,39.5015,Roper Technologies,ROP,Information Technology
2009-02-18,39.8961,40.052,38.5656,39.318,Roper Technologies,ROP,Information Technology
2009-02-19,39.7492,40.208,39.0978,39.2905,Roper Technologies,ROP,Information Technology
2009-02-20,38.4922,40.0337,38.4922,39.6942,Roper Technologies,ROP,Information Technology
2009-02-23,39.8043,40.208,37.2351,37.2993,Roper Technologies,ROP,Information Technology
2009-02-24,37.5929,38.9234,37.1617,38.7124,Roper Technologies,ROP,Information Technology
2009-02-25,38.5472,39.2629,37.3544,38.639,Roper Technologies,ROP,Information Technology
2009-02-26,38.9968,39.4281,38.0701,38.4004,Roper Technologies,ROP,Information Technology
2009-02-27,37.8132,39.0702,37.2718,37.9416,Roper Technologies,ROP,Information Technology
2009-03-02,37.0057,37.0057,34.7668,34.8586,Roper Technologies,ROP,Information Technology
2009-03-03,35.3816,36.2258,34.9975,35.7945,Roper Technologies,ROP,Information Technology
2009-03-04,36.0698,37.3085,36.0423,36.7488,Roper Technologies,ROP,Information Technology
2009-03-05,35.7119,36.4552,35.1247,35.3816,Roper Technologies,ROP,Information Technology
2009-03-06,35.6293,35.9964,34.0878,34.9687,Roper Technologies,ROP,Information Technology
2009-03-09,34.4916,34.9779,33.785,33.9135,Roper Technologies,ROP,Information Technology
2009-03-10,34.6017,36.4643,33.8309,36.446,Roper Technologies,ROP,Information Technology
2009-03-11,36.6111,37.3636,36.2992,36.8956,Roper Technologies,ROP,Information Technology
2009-03-12,36.6478,38.4646,35.8587,38.3637,Roper Technologies,ROP,Information Technology
2009-03-13,38.694,38.8041,37.6572,38.1527,Roper Technologies,ROP,Information Technology
2009-03-16,38.7583,38.8776,37.9049,38.0059,Roper Technologies,ROP,Information Technology
2009-03-17,38.0793,39.2171,37.5012,39.2171,Roper Technologies,ROP,Information Technology
2009-03-18,38.9968,41.0981,38.5013,40.5292,Roper Technologies,ROP,Information Technology
2009-03-19,40.988,40.988,39.2262,39.529,Roper Technologies,ROP,Information Technology
2009-03-20,39.6024,39.6483,37.9508,38.2352,Roper Technologies,ROP,Information Technology
2009-03-23,38.9326,40.731,38.6665,40.731,Roper Technologies,ROP,Information Technology
2009-03-24,39.8318,40.7402,39.8318,39.8594,Roper Technologies,ROP,Information Technology
2009-03-25,40.1805,40.7494,38.1802,39.1069,Roper Technologies,ROP,Information Technology
2009-03-26,39.6208,40.676,38.7307,40.5475,Roper Technologies,ROP,Information Technology
2009-03-27,39.9695,40.2231,38.3454,39.9695,Roper Technologies,ROP,Information Technology
2009-03-30,39.0611,39.0611,37.437,38.3362,Roper Technologies,ROP,Information Technology
2009-03-31,38.6757,39.6758,38.5656,38.951,Roper Technologies,ROP,Information Technology
2009-04-01,38.0701,39.6575,37.6847,39.5566,Roper Technologies,ROP,Information Technology
2009-04-02,40.4374,42.3001,39.7951,42.034,Roper Technologies,ROP,Information Technology
2009-04-03,41.9147,42.713,41.6303,42.1349,Roper Technologies,ROP,Information Technology
2009-04-06,42.1808,42.1808,40.9513,41.4835,Roper Technologies,ROP,Information Technology
2009-04-07,40.5503,41.0927,39.7137,40.2929,Roper Technologies,ROP,Information Technology
2009-04-08,40.5963,40.9272,39.8516,40.4492,Roper Technologies,ROP,Information Technology
2009-04-09,41.3501,42.7382,40.9456,42.6371,Roper Technologies,ROP,Information Technology
2009-04-13,42.3062,42.5547,41.0927,42.205,Roper Technologies,ROP,Information Technology
2009-04-14,41.0283,41.0835,39.0702,40.3389,Roper Technologies,ROP,Information Technology
2009-04-15,40.0539,40.4492,39.0978,39.916,Roper Technologies,ROP,Information Technology
2009-04-16,40.2194,42.6463,39.8608,42.3981,Roper Technologies,ROP,Information Technology
2009-04-17,42.4808,42.6831,41.5983,42.4716,Roper Technologies,ROP,Information Technology
2009-04-20,39.4196,40.0539,37.1121,37.7189,Roper Technologies,ROP,Information Technology
2009-04-21,37.3787,38.9415,37.1673,38.9323,Roper Technologies,ROP,Information Technology
2009-04-22,38.3072,40.8537,38.3072,39.8976,Roper Technologies,ROP,Information Technology
2009-04-23,39.6586,39.7229,37.9855,38.1417,Roper Technologies,ROP,Information Technology
2009-04-24,39.5942,44.2091,39.4288,42.7291,Roper Technologies,ROP,Information Technology
2009-04-27,41.966,42.775,41.1938,41.6719,Roper Technologies,ROP,Information Technology
2009-04-28,41.0559,41.4788,40.1826,40.9824,Roper Technologies,ROP,Information Technology
2009-04-29,41.1662,42.4992,40.7985,41.7914,Roper Technologies,ROP,Information Technology
2009-04-30,42.3246,43.3909,41.6535,41.9109,Roper Technologies,ROP,Information Technology
2009-05-01,41.5983,42.4533,40.8445,41.8741,Roper Technologies,ROP,Information Technology
2009-05-04,41.9109,43.6116,41.6535,43.6116,Roper Technologies,ROP,Information Technology
2009-05-05,43.538,43.538,42.6095,43.1243,Roper Technologies,ROP,Information Technology
2009-05-06,43.106,43.7587,42.4716,43.0232,Roper Technologies,ROP,Information Technology
2009-05-07,43.3818,43.4277,41.6351,41.9844,Roper Technologies,ROP,Information Technology
2009-05-08,42.8302,43.6759,42.7015,43.2163,Roper Technologies,ROP,Information Technology
2009-05-11,42.4073,43.6392,42.1131,42.2602,Roper Technologies,ROP,Information Technology
2009-05-12,42.5268,42.8394,41.1221,41.5523,Roper Technologies,ROP,Information Technology
2009-05-13,40.8721,40.964,39.107,39.7597,Roper Technologies,ROP,Information Technology
2009-05-14,39.7689,40.3021,39.4288,39.916,Roper Technologies,ROP,Information Technology
2009-05-15,39.8057,40.5687,39.2265,39.5115,Roper Technologies,ROP,Information Technology
2009-05-18,40.0585,41.2582,39.6494,41.2582,Roper Technologies,ROP,Information Technology
2009-05-19,41.0927,41.9844,40.6882,41.2949,Roper Technologies,ROP,Information Technology
2009-05-20,41.6443,42.0396,39.9987,40.1182,Roper Technologies,ROP,Information Technology
2009-05-21,39.7689,40.1182,38.5003,38.9691,Roper Technologies,ROP,Information Technology
2009-05-22,39.3184,39.7046,38.5554,39.2081,Roper Technologies,ROP,Information Technology
2009-05-26,38.7485,40.4032,38.5187,40.2194,Roper Technologies,ROP,Information Technology
2009-05-27,40.1826,40.3756,39.2449,39.3368,Roper Technologies,ROP,Information Technology
2009-05-28,39.5299,39.8241,38.3532,38.8404,Roper Technologies,ROP,Information Technology
2009-05-29,39.0427,39.5115,38.3716,39.5115,Roper Technologies,ROP,Information Technology
2009-06-01,40.1826,41.4053,40.1826,40.7526,Roper Technologies,ROP,Information Technology
2009-06-02,40.725,41.3777,40.5504,40.6974,Roper Technologies,ROP,Information Technology
2009-06-03,41.4512,42.2878,40.9548,41.249,Roper Technologies,ROP,Information Technology
